timestamp,price,date,created_at,average_sentiment,price_lag_1,price_lag_7,price_roll_mean_7,price_roll_mean_30,price_roll_std_7,price_roll_std_30,price_ma_7,price_ma_30,predicted_price
2024-11-12 08:07:44,88995.19935423242,2024-11-12,2024-11-12,0.181725,89256.30393079246,89050.57290212612,88574.1093795338,84936.20341276993,457.9158022489459,3121.0916322933967,88574.1093795338,84936.20341276993,89174.27697784346
2024-11-12 09:18:51,88406.23216897136,2024-11-12,2024-11-12,0.181725,88995.19935423242,88677.16665584246,88535.40445283792,85167.21427114475,459.20161655278656,3112.608619416599,88535.40445283792,85167.21427114475,88562.42137946846
2024-11-12 10:12:42,87802.20943312166,2024-11-12,2024-11-12,0.181725,88406.23216897136,87908.1096042888,88520.27585695691,85371.46860031628,484.36741166448286,3076.354467305345,88520.27585695691,85371.46860031628,88531.10407710793
2024-11-12 11:00:56,86330.07868480618,2024-11-12,2024-11-12,0.181725,87802.20943312166,88190.75886630068,88254.46440245768,85531.27981367068,966.2179565416013,2993.640936541112,88254.46440245768,85531.27981367068,86939.41643368547
2024-11-12 12:13:16,87787.40056685073,2024-11-12,2024-11-12,0.181725,86330.07868480618,88526.90126096137,88148.82144615617,85759.59078675782,971.8767567965549,2890.671296113059,88148.82144615617,85759.59078675782,87392.80134479974
2024-11-12 13:02:52,86449.81632364336,2024-11-12,2024-11-12,0.181725,87787.40056685073,88464.32598431838,87861.03435177403,85942.96069677132,1145.6142452328095,2745.8220562480665,87861.03435177403,85942.96069677132,86809.51557397484
2024-11-12 14:16:19,85969.85782947157,2024-11-12,2024-11-12,0.181725,86449.81632364336,89256.30393079246,87391.54205158532,86102.2520982185,1151.9116208937858,2595.128759384713,87391.54205158532,86102.2520982185,86412.04734143666
2024-11-12 15:21:21,87431.82489678862,2024-11-12,2024-11-12,0.181725,85969.85782947157,88995.19935423242,87168.20284337907,86298.67758719812,916.7101908391434,2457.1756961513156,87168.20284337907,86298.67758719812,87255.46377481314
2024-11-12 16:06:44,86430.70558350296,2024-11-12,2024-11-12,0.181725,87431.82489678862,88406.23216897136,86885.98475974074,86440.56727666753,763.3044078327131,2330.415592916037,86885.98475974074,86440.56727666753,86948.09274509398
2024-11-12 17:16:41,87524.52715434639,2024-11-12,2024-11-12,0.181725,86430.70558350296,87802.20943312166,86846.31586277284,86625.36840185794,713.3319823185775,2179.4687313594336,86846.31586277284,86625.36840185794,87284.46172748427
2024-11-12 18:14:15,87322.57329389565,2024-11-12,2024-11-12,0.181725,87524.52715434639,86330.07868480618,86988.10080692847,86794.61554020437,691.9362477920663,2018.8162994564243,86988.10080692847,86794.61554020437,87616.43597660292
2024-11-12 19:02:51,89022.70173469624,2024-11-12,2024-11-12,0.181725,87322.57329389565,87787.40056685073,87164.57240233498,87036.03628466811,1012.8655625843326,1821.9280654862596,87164.57240233498,87036.03628466811,87352.67408075264
2024-11-12 20:03:17,88751.24336874047,2024-11-12,2024-11-12,0.181725,89022.70173469624,86449.81632364336,87493.3476944917,87255.06141858104,1110.958748236079,1599.457595986815,87493.3476944917,87255.06141858104,88837.8897154948
2024-11-12 21:01:50,89645.31830214529,2024-11-12,2024-11-12,0.181725,88751.24336874047,85969.85782947157,88018.41347630222,87477.74632019311,1139.1132254580612,1438.4948401441804,88018.41347630222,87477.74632019311,89241.4437016652
2024-11-12 22:06:23,88232.35646222225,2024-11-12,2024-11-12,0.181725,89645.31830214529,87431.82489678862,88132.77512850704,87615.86805459851,1110.2258756385381,1293.488438513103,88132.77512850704,87615.86805459851,88999.47553547737
2024-11-12 23:06:18,88114.68779727131,2024-11-12,2024-11-12,0.181725,88232.35646222225,86430.70558350296,88373.34401618822,87730.41671498885,826.0126771730489,1170.7013513715792,88373.34401618822,87730.41671498885,88321.04953880835
2024-11-13 00:19:26,87803.10732369016,2024-11-13,2024-11-13,0.09545,88114.68779727131,87524.52715434639,88413.14118323734,87834.22548593864,783.9403438284961,1020.0835103178226,88413.14118323734,87834.22548593864,88007.010012599
2024-11-13 01:05:49,88175.33221372607,2024-11-13,2024-11-13,0.09545,87803.10732369016,87322.57329389565,88534.96388607025,87918.29337936749,639.1014739890294,934.4815298416829,88534.96388607025,87918.29337936749,87441.5329893636
2024-11-13 02:09:46,88229.76457744453,2024-11-13,2024-11-13,0.09545,88175.33221372607,89022.70173469624,88421.68714932002,87976.0280523897,607.7473762060011,896.4184565737766,88421.68714932002,87976.0280523897,88204.68818650577
2024-11-13 03:11:03,87896.7454896383,2024-11-13,2024-11-13,0.09545,88229.76457744453,88751.24336874047,88299.61602373398,88002.0516974947,616.2775573432319,881.8045399868689,88299.61602373398,88002.0516974947,88036.22235490735
2024-11-13 04:01:37,87596.9364370135,2024-11-13,2024-11-13,0.09545,87896.7454896383,89645.31830214529,88006.99004300089,88007.0638440398,245.7038845786487,878.9610879981194,88006.99004300089,88007.0638440398,88422.79342320729
2024-11-13 05:02:15,87312.7750883111,2024-11-13,2024-11-13,0.09545,87596.9364370135,88232.35646222225,87875.62127529927,87980.25433197845,334.8040476389721,887.7126817935628,87875.62127529927,87980.25433197845,87353.19092119833
2024-11-13 06:01:31,86634.51511870355,2024-11-13,2024-11-13,0.09545,87312.7750883111,88114.68779727131,87664.1680355039,87931.3349469288,554.1911348330417,920.5949284219813,87664.1680355039,87931.3349469288,86938.52153812995
2024-11-13 07:05:06,86572.94191014301,2024-11-13,2024-11-13,0.09545,86634.51511870355,87803.10732369016,87488.43011928287,87848.74724719602,682.8921959882537,927.8315810770029,87488.43011928287,87848.74724719602,86860.00816475808
2024-11-13 08:04:06,87457.72745322503,2024-11-13,2024-11-13,0.09545,86572.94191014301,88175.33221372607,87385.915153497,87808.09927377546,612.8612467941111,916.934959390681,87385.915153497,87808.09927377546,87240.42070487062
2024-11-13 09:00:28,87366.61234266152,2024-11-13,2024-11-13,0.09545,87457.72745322503,88229.76457744453,87262.60769138516,87790.04936505454,489.1235501136541,920.2221722145187,87262.60769138516,87790.04936505454,87442.5711109021
2024-11-13 10:01:34,87521.3457374732,2024-11-13,2024-11-13,0.09545,87366.61234266152,87896.7454896383,87208.97915536157,87767.73559409362,424.2903042812918,918.2846254101042,87208.97915536157,87767.73559409362,87402.30814443236
2024-11-13 11:06:08,87700.82586589131,2024-11-13,2024-11-13,0.09545,87521.3457374732,87596.9364370135,87223.8205023441,87740.1997475913,441.58692029486537,907.0518872998464,87223.8205023441,87740.1997475913,87672.4951261129
2024-11-13 12:04:00,87768.81021029539,2024-11-13,2024-11-13,0.09545,87700.82586589131,87312.7750883111,87288.9683769133,87717.01588845719,488.0889935136509,896.735183173621,87288.9683769133,87717.01588845719,87717.45197007062
2024-11-13 13:00:40,87812.05472708656,2024-11-13,2024-11-13,0.09545,87768.81021029539,86634.51511870355,87457.188320968,87668.87424833367,423.5976489245853,848.7309360341302,87457.188320968,87668.87424833367,87597.0056893077
2024-11-13 14:03:07,89236.86447953302,2024-11-13,2024-11-13,0.09545,87812.05472708656,86572.94191014301,87837.74868802373,87676.92975251033,638.7725172206983,862.7839901443501,87837.74868802373,87676.92975251033,88454.69947778196
2024-11-13 15:01:17,91723.46724567591,2024-11-13,2024-11-13,0.09545,89236.86447953302,87457.72745322503,88447.14008694528,87787.50425506716,1570.7253846214735,1130.5060241157892,88447.14008694528,87787.50425506716,90537.86037188301
2024-11-13 16:00:41,92453.52920104629,2024-11-13,2024-11-13,0.09545,91723.46724567591,87366.61234266152,89173.84249528595,87942.54824733132,2081.265968858366,1415.598881604796,89173.84249528595,87942.54824733132,91933.51213990632
2024-11-13 17:03:20,92468.72696584147,2024-11-13,2024-11-13,0.09545,92453.52920104629,87521.3457374732,89880.61124219571,88147.16985669915,2259.014235872003,1605.4199281532574,89880.61124219571,88147.16985669915,92130.29660652616
2024-11-13 18:03:36,92276.97182514616,2024-11-13,2024-11-13,0.09545,92468.72696584147,87700.82586589131,90534.34637923211,88296.82223197566,2183.9705530000992,1771.3989852123582,90534.34637923211,88296.82223197566,91772.50156473143
2024-11-13 19:08:50,92356.13825157315,2024-11-13,2024-11-13,0.09545,92276.97182514616,87768.81021029539,91189.67895655752,88493.69962957334,1883.3867576935024,1883.7011532740225,91189.67895655752,88493.69962957334,91406.16280770065
2024-11-13 20:04:38,90313.40464323206,2024-11-13,2024-11-13,0.09545,92356.13825157315,87812.05472708656,91547.014658864,88638.48452336535,1274.660979895938,1849.6433948123251,91547.014658864,88638.48452336535,91094.44016163795
2024-11-13 21:07:42,89117.70324027816,2024-11-13,2024-11-13,0.09545,90313.40464323206,89236.86447953302,91529.99162468474,88694.68046814833,1310.9344830803911,1837.2873890522312,91529.99162468474,88694.68046814833,89455.1696059581
