timestamp,price,market_cap,volume
2024-09-05 14:37:53,57125.4501514749,1126982323368.2068,32097467591.9451
2024-09-05 15:26:51,56404.29960422861,1116410896854.6804,31703704488.396385
2024-09-05 16:18:51,56047.62020016585,1106348791668.9731,32222151123.87809
2024-09-05 17:24:39,56443.49795536377,1112266639415.817,31706812307.74803
2024-09-05 18:21:39,56522.572068468406,1116328333893.462,31464804710.697655
2024-09-05 19:18:13,56414.454392688735,1113789947218.8591,31205962872.39841
2024-09-05 20:22:48,56040.03890248612,1107118663018.947,31585726035.33676
2024-09-05 21:24:51,56200.64911676952,1109284804621.4978,31319850523.60114
2024-09-05 22:12:36,56037.78751865841,1106723893486.5652,32229635156.82407
2024-09-05 23:21:13,56116.08146432956,1108367464451.481,24564188268.215935
2024-09-06 00:18:38,56276.037013870904,1110660578806.0793,30661210866.0207
2024-09-06 01:06:31,56004.497575819725,1106681003586.2856,31939413883.30881
2024-09-06 02:00:58,56538.22821522616,1115512676082.6333,31424703979.25722
2024-09-06 03:18:02,56746.166395129345,1120042356113.253,31885914360.456463
2024-09-06 04:19:07,56707.739984513784,1120121663312.3325,27406976007.431717
2024-09-06 05:23:31,56511.21182542301,1116369058920.0247,26865938045.852383
2024-09-06 06:10:34,56447.17153444231,1115295645668.6707,26963156612.227974
2024-09-06 07:10:56,56366.669702838466,1113529383502.5913,29414063599.280647
2024-09-06 08:13:58,55812.44318192622,1101643135344.9158,33442263065.34835
2024-09-06 09:01:42,55782.373950107845,1101744280840.4277,31440315962.5153
2024-09-06 10:14:35,55937.23817176504,1104813174755.276,33792838049.176556
2024-09-06 11:20:46,56048.55200528273,1107254846061.8088,32598482413.723503
2024-09-06 12:21:32,55883.98715130142,1106079031028.6885,31562722755.1753
2024-09-06 13:17:50,56805.55106357134,1120514212671.8223,36681461357.72453
2024-09-06 14:24:25,55324.91474531126,1089460129444.7455,35963377743.16736
2024-09-06 15:18:54,54481.51033537016,1077697819310.7339,39210570142.4018
2024-09-06 16:03:40,54008.69564063515,1069118437955.7537,36910213772.43913
2024-09-06 17:23:24,54302.84348921811,1072069995631.7899,40894406314.02234
2024-09-06 18:14:52,53760.5950543657,1067155818610.1372,41035465669.07291
2024-09-06 19:12:51,53752.943586110996,1061189609426.3911,44983564366.48231
2024-09-06 20:04:52,53491.82745304818,1059019138918.14,47161614672.4522
2024-09-06 21:25:45,53304.61527374619,1052482584534.5885,49820578226.48548
2024-09-06 22:26:08,53803.47840034575,1062810321493.5852,47009417086.72803
2024-09-06 23:11:17,53700.61737164216,1059194892262.6295,50804781124.31453
2024-09-07 00:03:29,53955.11336282272,1065093384443.2023,51516335695.18427
2024-09-07 01:04:31,53900.28358818041,1065146705182.648,49791616371.27248
2024-09-07 02:05:19,53794.89842133255,1062331255380.0498,50385330240.57677
2024-09-07 03:15:36,53813.390908389156,1063213832739.3601,49794998629.56399
2024-09-07 04:07:21,53806.07395267369,1062859956295.6183,49264427971.86347
2024-09-07 05:08:57,54028.17614823898,1067497104637.2461,46335230903.86771
2024-09-07 06:10:30,54171.76650009698,1069998210296.2616,50673859138.15183
2024-09-07 07:06:16,54276.07839995552,1073562519225.565,51161706955.91645
2024-09-07 08:05:29,54260.814238357576,1071544469894.2902,47957284442.25527
2024-09-07 09:06:30,54358.71012996293,1074378586461.797,48519904420.90845
2024-09-07 10:16:15,54312.33256235887,1072416140670.1592,47986578605.22137
2024-09-07 11:20:23,54410.95836986007,1074741298022.8817,46820521429.25276
2024-09-07 12:07:41,54433.38027259792,1074471361126.2438,45788596941.149254
2024-09-07 13:04:27,54560.49986085692,1079548784202.9009,44202456915.31717
2024-09-07 14:21:09,54601.959668171454,1078662194415.3158,39820242805.71685
2024-09-07 15:24:18,54641.181787137844,1079215577265.7609,32524997612.834717
2024-09-07 16:00:56,54814.8188490265,1082740940544.5272,32264607033.073353
2024-09-07 17:02:29,54512.29459997584,1076704765197.0638,20918335627.811016
2024-09-07 18:20:49,54149.5518521795,1068200011320.274,26372903841.80298
2024-09-07 19:09:33,54238.749390463665,1071290018327.6031,25105063571.57628
2024-09-07 20:08:07,54358.127550689824,1074882798676.1295,23054431311.986576
2024-09-07 21:13:50,54038.41228294185,1067820992777.8566,20076387887.11049
2024-09-07 22:16:28,54014.23513028771,1067646488198.3948,18938561476.54742
2024-09-07 23:22:02,53988.87146955055,1065254651119.4373,18910424860.957165
2024-09-08 00:17:38,54121.47291189394,1069014654288.3549,18726033043.42765
2024-09-08 01:16:25,54260.86694365345,1072578200923.0214,18064498667.044636
2024-09-08 02:13:19,54333.79761749462,1073270913422.3125,16131922851.052288
2024-09-08 03:09:10,54365.447985786355,1073274503311.2993,17892063797.59579
2024-09-08 04:16:16,54445.118714845,1075012721956.0206,17462159486.759792
2024-09-08 05:13:57,54485.33028643299,1076202354641.9373,14678198220.907204
2024-09-08 06:14:26,54397.37848584855,1073170251213.8105,17214351779.902935
2024-09-08 07:13:53,54469.34594621885,1072729592465.3955,17038516414.31378
2024-09-08 08:10:55,54401.95281399067,1074988439374.4307,10460634171.84424
2024-09-08 09:23:18,54563.238380790855,1079093335677.7043,15911221722.678135
2024-09-08 10:19:25,54594.67297418731,1078219422407.5249,16023041093.565018
2024-09-08 11:04:21,54607.23537231982,1078299563844.8846,15800295432.431564
2024-09-08 12:02:19,54539.44726822426,1077238814857.3966,15484157929.013672
2024-09-08 13:11:39,54056.89287256887,1069742665995.0742,15703437037.616034
2024-09-08 14:05:22,54395.85929137016,1073386421599.3833,14119759970.117577
